অঁরি	anri:1	aunry:1	onry:1	ori:1
উপন্যাসটির	uponnastir:1	uponnyashtir:1	uponyaashtir:1	uponyaastir:1
উপন্যাসিক	uponnasik:1	uponnyashik:1	uponyaashik:1	uponyaasik:1
উপন্যাসে	uponnyase:2	uponyase:2	uponnase:1	uponnyashe:1
উপন্যাসেও	uponyaseo:2	uponnaseo:1	uponnyasheo:1	uponyaaseo:1
উপন্যাসের	upanyaser:4	uponyaser:2	uponnaser:1	uponyaaser:1
উপপত্নী	upopotnee:2	upopotni:2	oopopotnee:1	oopopotni:1
উপপাদ্য	upopadyo:2	oopopaadyo:1	oopopadyo:1	upopaadyo:1
উপপাদ্যের	upopadyer:2	oopopaadyer:1	oopopadyer:1	upopaadyer:1
উপপ্রজাতি	upoprojati:3	upoprozati:2	upoprojaati:1	upoprojatee:1
উপপ্রধানমন্ত্রী	upoprodhanmontree:2	oopoprodhaanmontree:1	oopoprodhanmontree:1	upopradhanmontri:1
উপবন	upobon:3	oopobon:1	upoban:1
উপবাস	upobas:2	upobash:2	upobaas:1	upobaash:1
উপবাসী	upobasee:2	upobaasee:1	upobaashee:1	upobashee:1
উপবাসের	upobaser:2	upbasher:1	upobaaser:1	upobaasher:1
উপবিষ্ট	upobishto:2	upobisto:2	upobeebishto:1	upobeeshto:1
উপবৃত্তাকার	upobrittakar:2	upobreettakar:1	upobrittaakaar:1	upobrittaakar:1
উপবৃত্তি	upobritti:3	upobreetti:2	upobreettee:1	upobrittee:1
উপভাষা	upobhasa:3	upobhaasaa:1	upobhaashaa:1	upobhasha:1
উপভাষার	upobhasar:3	upobhaasaar:1	upobhaashaar:1	upobhashar:1
উপভোগ	upobhog:3	upovog:2	oopobhog:1
উপভোগ্য	upobhoggyo:2	upovoggyo:2	oopobhogyo:1	upobhogyo:1
উপমন্ত্রীর	upomontriir:2	oopomontreer:1	oopomontrir:1	upomontreer:1
উপমহাদেশ	upomohadese:2	upomohaades:1	upomohaadesh:1	upomohades:1
উপমহাদেশে	upomohadese:3	upomohaadese:1	upomohaadeshe:1	upomohadeshe:1
উপমহাদেশের	upomohadeser:3	upomohaadeser:1	upomohaadesher:1	upomohadesher:1
উপমা	upoma:3	oopoma:1	oopomaa:1	upomaa:1
উপমান	upoman:3	oopomaan:1	oopoman:1	upomaan:1
উপমার	upomar:3	oopomaar:1	oopomar:1	upomaar:1
উপযুক্ত	upojukto:3	upozukto:3	upojookto:1	upozookto:1
উপযুক্তভাবে	upojuktobhabe:3	upozuktobhabe:3	upojuktovabe:2	upozuktovabe:2
উপযোগি	upozogi:3	upojogi:2	oopojogi:1	oopozogi:1
উপযোগিতা	upojogita:3	upozogita:3	upojogitaa:1	upozogitaa:1
উপযোগিতার	upojogitar:3	upozogitar:3	upojogitaar:1	upozogitaar:1
উপযোগী	upojogi:4	upozogii:2	upojogee:1	upojogii:1
উপর	upor:3	oopor:1
উপরই	upori:3	oopori:1	uporyi:1
উপরও	uporo:3	uporyo:2	ooporo:1
উপরন্তু	uporontu:2	ooporontoo:1	ooporontu:1	uparantu:1
উপরস্থ	uporostho:3	ooporoshtho:1	ooporostho:1	uporoshtho:1
উপরাষ্ট্রপতি	uporashtropoti:3	uparashtrapoti:1
উপরিউক্ত	uporikukto:1	uporiukto:1	uporiyukto:1
উপরিকাঠামো	uporikathamo:2	uporikatthamo:1
উপরিতল	uporital:2	uporitol:1
উপরিতলে	uporitale:1	uporitaley:1	uporitole:1
উপরিতলের	uporitaler:2	uporitoler:1
উপরিভাগ	uporibhag:2	uporivag:1
উপরিভাগে	uporibhage:1	uporibhagey:1	uporivage:1
উপরিভাগের	uporibhag:1	uporibhager:1	uporivager:1
উপরে	upore:2	uporey:1
উপরেই	uporei:2	uporeyi:1	uprei:1
উপরেও	uporeo:3	uporeou:1	upreo:1
উপরের	uporer:3
উপরোক্ত	uporokto:3
উপরোল্লিখিত	uporollikhito:3
উপর্যুক্ত	uporjukto:1	uporjuktu:1	uporzukto:1
উপর্যুপরি	uparjupori:1	uporjupori:1	uporzupori:1
উপলক্ষে	upolakkhe:1	upolokkhe:1	upolokkhey:1	upolokshe:1
উপলক্ষ্যে	upolokkhe:2	upolakkhye:1	upolokshye:1
উপলব্ধ	upolobdho:2	upolabdho:1
উপলব্ধি	upolobdhi:2	upolabdhi:1
উপলব্ধিকে	upolabdhike:1	upolobdhikay:1	upolobdhike:1
উপলব্ধির	upolobdhir:2	upolabdhir:1
উপশমে	uposhame:1	uposhamey:1	uposhome:1
উপশহর	uposhahor:2	uposhahar:1	uposhohor:1
উপশহরে	uposhahare:1	uposhahore:1	uposhahorey:1	uposhohore:1
উপশাখা	uposhakha:3
উপশিরোনাম	uposhironam:3	uposheeronam:1
উপসংহার	uposanghar:1	uposhonghar:1	uposonghar:1
উপসর্গ	uposorgo:3	uposargo:2	uposhargo:1
উপসর্গটি	uposargotee:1	uposargoti:1	uposhargoti:1	uposorgoti:1
উপসর্গের	uposarger:2	uposharger:1	uposorger:1
উপসাগর	uposagar:1	uposagor:1	uposhagor:1
উপসাগরে	uposagare:1	uposagore:1	uposhagore:1
উপসাগরের	uposagarer:1	uposagorer:1	upshagorer:1
উপস্থাপক	uposthapok:2	uposhthapok:1
উপস্থাপন	uposthapon:2	upshthapon:1
উপস্থাপনা	uposthapona:2	uposhthapona:1	uposthaapona:1
উপস্থাপনার	uposthaponar:2	uposhthaponar:1
উপস্থাপনের	uposthaponer:2	upshthaponer:1
উপস্থাপিকা	uposthapika:2	uposhthapika:1	uposthapeeka:1
উপস্থাপিত	uposthapito:2	uposhthapito:1	uposthapeeto:1
উপস্থিত	uposthit:2	uposhthit:1	upostheet:1
উপস্থিতি	uposthiti:2	uposhthiti:1	upostheeti:1
উপস্থিতিও	uposthitio:2	uposhthitio:1	upostheetio:1
উপস্থিতিতে	uposthitite:2	uposhthitite:1	upostheetite:1
উপস্থিতির	uposthitir:2	uposhthitir:1	upostheetir:1
উপহার	upohar:3
উপহারের	upoharer:3
উপহাস	upohas:2	upohash:1
উপাখ্যান	upakhyan:2	upakhen:1	upakkhyan:1
উপাচার্য	upacharjo:3	upcharzo:1
উপাচার্যের	upacharjer:3	upacharzer:1
উপাত্ত	upatto:3
উপাত্তের	upatter:3
উপাদান	upadan:3
উপাদানকে	upadanke:3
উপাদানগুলি	upadanguli:3	upadangooli:1
উপাদানগুলো	upadangulo:3	upadangoolo:1
উপাদানগুলোকে	upadanguloke:3	upadangooloke:1
উপাদানগুলোর	upadangulor:3	upadangoolor:1
উপাদানসমূহ	upadansamuho:2	upadanshomuho:1	upadansomuho:1
উপাদানে	upadane:3
উপাদানের	upadaner:3
উপাধি	upadhi:3	upadhee:1
উপাধিও	upadhio:3	upadheeo:1
উপাধিতে	upadhite:3	upadheete:1
উপাধী	upadhi:2	upadhee:1	upadhii:1
উপার্জন	uparjan:2	uparjon:2	uporzon:1
উপার্জনকারী	uparjankaree:1	uparjankari:1	uparjonkari:1	uparjonkarii:1
উপার্জনক্ষম	uparjankkham:1	uparjankkhomo:1	uparjonkhom:1	uparjonkkhomo:1
উপার্জনে	uparjane:2	uparjone:2	uparzone:1
উপার্জনের	uparjoner:2	uparjaner:2	uparzoner:1
উপার্জিত	uparjito:3	uparjeeto:1	uporazito:1
উপাসক	upasak:1	upashok:1	upasok:1
উপাসনা	upasana:1	upashona:1	upasona:1
উপাসনার	upasanar:1	upashonar:1	upasonar:1
উপাস্য	upashhyo:1	upasso:1	upasya:1	upasyo:1
উপেক্ষা	upekkha:3	oopekha:1	upekha:1
উপেক্ষিত	upekkhito:3	oopekkhito:1	upekhito:1	upekkheeto:1
উপেক্ষিতই	upekkhitoi:3	upekhitoi:1	upekkheetoi:1	upekkhitai:1
উপেন	upen:3	oopen:1
উপেন্দ্রকিশোর	upendrakishore:2	upendrakishor:1	upendrakisor:1	upendrokishor:1
উপোষ	uposh:2	oopos:1	upos:1
উপোস	upos:3	woopos:1
উবাই	ubai:3	woobai:1
উবাইদা	ubaida:3	ubaidaa:1
উবান	uban:3
উবু	ubu:3	uboo:1
উবুন্টু	ubuntu:2	uboontu:1	ubunt:1
উভকামী	ubhokami:2	uvokami:2	ubhakami:1	uvakami:1
উভচর	ubhochar:2	ubhachar:1	ubhochor:1	uvachar:1
উমর	umar:2	umoor:1	umor:1
উমরের	umarer:2	umoreer:1	umorer:1
উমা	uma:3	umaa:1
উমেদ	umed:3	umeed:1
উমেদপুর	umedpur:3	umedpoor:1
উম্মু	ummu:3
উম্মুক্ত	ummukto:3	ummukta:1	unmukto:1
উম্মুল	ummul:3	ummool:1
উম্মে	umme:3
উরু	uru:3	uruu:1
উরুগুয়ে	uruguye:2	uruguai:1	uruguay:1	uruguie:1
উরুতে	urute:3	uroote:1
উরুর	urur:3	uroor:1
উরে	ure:3	uree:1
উর্দু	urdu:4	urdoo:2	oordoo:1
উর্দ্ধতন	urddhatan:2	urdhoton:1
উর্দ্ধে	urddhe:2	urdhe:1
উর্ধে	urdhe:3	urdhee:1
উর্ধ্বতন	urdhwatan:2	urdhootton:1	urdhotton:1
উর্ধ্বে	urdhwe:2	urdhe:1	urdhee:1
উর্বর	urbar:2	urbor:1
উর্বরতা	urbarata:1	urborata:1	urborota:1
উর্বশী	urboshi:2	urbashi:1	urboosi:1
উর্বশীর	urbashir:2	urbooshir:1	urbosheer:1
উর্মিলা	urmila:3	urmeela:1
উল	ul:2	wool:3	ula:1	uul:1
উলঙ্গ	ulango:3	ulongo:1
উলটো	ulto:3	ultoo:1
উলফ	wolf:2	ulof:1	uloof:1
উলম্ব	ulambo:2	ulombo:1
উলামা	ulama:3	ulaama:1
উলামাগণ	ulamagon:3	ulamaagon:1
উলামাদের	ulamader:3	ulaamader:1
উলামার	ulamar:3	ulaamar:1
উলামারা	ulamara:3	ulaamara:1
উলিপুর	ulipur:3	uleepur:1
উলুম	ulum:3	uloom:1
উলূম	ulum:3	uloom:1
উলের	uler:2	wooler:2	uleer:1
উল্কি	ulki:3	ulkee:1
উল্টো	ulto:3	ultoo:1
উল্টোদিকে	ultodike:3	ultoodike:1
উল্টোভাবে	ultobhabe:3	ultovabe:1
উল্লম্ব	ullamba:2	ullombo:1
উল্লাস	ullas:2	ullaas:1	ullash:1
উল্লাহ	ullah:2	ullaho:3	ullaaho:1
উল্লিখিত	ullikhito:3	ulekhito:1
উল্লুকের	ulluker:3
উল্লেখ	ullekh:3
উল্লেখও	ullekho:3
উল্লেখপূর্বক	ullekhpurbok:3
উল্লেখযোগ্য	ullekhjogyo:4	ullekhjoggyo:2	ullekhzoggyo:2	ullekhjogya:1
উল্লেখযোগ্যভাবে	ullekhjoggyovabe:2	ullekhzoggyobhabe:2	ullekhjoggyobhabe:1	ullekhjogyabhabe:1
উল্লেখযোগ্যসংখ্যক	ullekhjoggyoshongkhok:2	ullekhjoggyoshonkhok:2	ullekhzoggyoshongkhok:2	ullekhzoggyoshonkhok:2
উল্লেখিত	ullekhito:3
উল্লেখ্য	ullekhkhyo:1	ullekhya:1	ullekhyo:1	ullekkhyo:1
উল্লেখ্যযোগ্য	ullekhhyozoggyo:1	ullekhjoggyo:1	ullekhkkhyojoggyo:1	ullekhyajogyo:1
উল্ল্যেখযোগ্য	ullekhjoggyo:1	ullekhzoggyo:1	ullyakhjogyo:1	ullyekhjoggyo:1
উষ্কে	uske:2	ushke:1
উষ্ণ	ushna:1	ushno:1	usno:1	usnoy:1
উষ্ণতম	ushnatamo:1	ushnotam:1	usnotomo:1	usnoyotomo:1
উষ্ণতা	ushnata:1	ushnota:1	usnota:1	usnoyota:1
উসমান	usman:3	ushman:1
উসমানকে	usmanke:2	ushmankay:1	usmankay:1	usmankey:1
উসমানের	usmaner:3	ushmaner:1
উসামা	usama:2	ushama:1
উসুল	ushul:2	usul:2	ushool:1
উস্তাদ	ustad:3	ustaad:1
উস্তাদের	ustader:3
উহুদ	uhud:3	uhood:1
উহুদের	uhuder:3
উহ্য	ujhha:1	ujhho:1	ujhjho:1	ujjho:1
উৎকণ্ঠা	utkantha:2	utkontha:2
উৎকণ্ঠিত	utkonthito:3	utkanthita:1	utkanthito:1	utkonthita:1
উৎকর্ষ	utkarsho:2	utkarsha:1	utkorso:1
উৎকীর্ণ	utkirno:2	utkiirno:1	utkirna:1
উৎকৃষ্ট	utkrishto:2	utkrishta:1	utkristo:1
উৎক্ষিপ্ত	utkhipto:3	utkhipta:1
উৎক্ষেপণ	utkhepan:2	utkhepon:2
উৎক্ষেপন	utkhepan:2	utkhepon:1	utkkhepon:1
উৎখাত	utkhat:3
উৎখাতের	utkhater:3
উৎপত্তি	utpotti:2	utpatti:1	utpotty:1
উৎপত্তির	utpottir:3	utpattir:1
উৎপত্তিস্থল	utpottisthol:2	utpattisthal:1	utpattisthol:1	utpottishal:1
উৎপন্ন	utponno:4	utpanno:2	utpanna:1
উৎপল	utpal:2	utpol:1
উৎপাটন	utpatan:2	utpaton:2
উৎপাত	utpat:2	utpaat:1
উৎপাদ	utpad:2	utpaad:1
উৎপাদক	utpadak:2	utpadok:2
উৎপাদকদের	utpadakder:2	utpadokder:2
উৎপাদন	utpadon:2	utpadan:1	utpadone:1
উৎপাদনকারী	utpadankari:2	utpadonkari:2
উৎপাদনকে	utpadonkey:2	utpadankay:1	utpadanke:1	utpadankey:1
উৎপাদনশীল	utpadonshil:2	utpadanshil:1	utpadonsheel:1
উৎপাদনশীলতা	utpadonshilota:2	utpadanshilata:1	utpadanshilota:1	utpadonsheelota:1
উৎপাদনে	utpadone:2	utpadoney:2	utpadaney:1
উৎপাদনের	utpadoner:3	utpadaner:1
উৎপাদিত	utpadito:3	utpadita:1
উৎযাপন	utjapon:3	utjapan:1	utzapon:1
উৎযাপনের	utjaponer:3	utjapaner:1	utzaponer:1
উৎযাপিত	utjapito:3	utjapita:1	utzapito:1
উৎস	utso:2	utsa:1	utsho:1
উৎসকে	utsake:1	utshoke:1	utsoke:1	utsokey:1
উৎসগুলোর	utsogulor:2	utsagulor:1	utshogulor:1
উৎসটি	utsoti:2	utsati:1	utshoti:1
উৎসব	utshob:8	utsob:2	utsab:1
উৎসবও	utsobo:2	utsabo:1	utsabyo:1	utshobo:1
উৎসবগুলো	utsobgulo:2	utsabgulo:1	utshobgulo:1
উৎসবটি	utsobti:2	utsabti:1	utshobti:1
উৎসবে	utsobey:2	utsabe:1	utsabey:1
উৎসবেও	utsabeo:2	utsobeo:2
উৎসবের	utsaber:2	utsober:2
উৎসরিত	utsorito:2	utsarita:1	utsarito:1	utshorito:1
উৎসর্গ	utsargo:2	utsorgo:2	utshorgo:1
উৎসর্গিত	utsargito:2	utsargita:1	utshorgito:1	utsorgito:1
উৎসর্গের	utsarger:2	utsorger:2	utshorger:1
উৎসস্থল	utsasthal:2	utsasthol:1	utshasthal:1	utsosthol:1
উৎসারিত	utsarito:3	utsarita:1	utsharita:1
উৎসাহ	utsaho:3	utsaha:1
উৎসাহমূলক	utsahomulak:2	utsahomulok:2	utsahamulak:1	utsahamulok:1
উৎসাহিত	utsahito:3	utsahita:1	utshahito:1
উৎসাহিতও	utsahita:1	utsahito:1	utsahitoo:1	utsahitowo:1
উৎসাহী	utsahi:3	utshahi:1
উৎসাহে	utsahe:3	utsaahe:1	utshahe:1
উৎসাহেই	utsahei:2	utshahei:1
উৎসাহের	utsaher:2	utshaher:1
উৎসে	utse:2	utshe:2
উৎসেচক	utsechak:1	utsechok:1	utshechok:1
উৎসের	utser:2	utsher:1
ঊনবিংশ	unobingsho:3	unobeengsho:1
ঊনিশ	unish:3	uneesh:1
ঊরু	uru:3	uroo:1
ঊর্ধ্ব	urdha:2	urdho:2	urdhwa:1
ঊর্ধ্বতন	urdhatan:1	urdhaton:1	urdhooton:1	urdhoton:1
ঊর্ধ্বলোকে	urdholoke:2	urdhaloke:1	urdhooloke:1	urdhwaloke:1
ঊর্ধ্বে	urdhe:2	urdhwe:1
ঊর্মিলা	urmila:3	urmeela:1
ঊষর	ushor:3	ushar:1	usor:1
ঊষা	usha:3	usa:1
ঊষালগ্নে	ushalagne:2	ushalogne:2	usalogne:1
ঋগ্বেদ	reeged:1	rigbed:1	riged:1	rigwed:1
ঋণ	rin:2	reen:1	rina:1	rrin:1
ঋণাত্মক	reenattok:1	rinattok:1	rinatwak:1	rinatwok:1
ঋণী	rini:2	reeni:1	rrini:1
ঋণের	riner:2	reener:1	rriner:1
ঋতু	ritu:3	reetu:1
ঋতুকে	rituke:3	reetuke:1
ঋতুতে	ritute:2	reetute:1	ritu:1
ঋতুপর্ণ	rituparno:2	reetuporno:1	rituporno:1
ঋতুপর্ণা	rituparna:2	reetuporna:1	rituporna:1
ঋতুর	ritur:3
ঋতুস্রাব	ritusrab:3
ঋতুস্রাবের	ritusraber:3
ঋত্বিক	rittik:2	ritwik:2	rithvik:1	ritwick:1
ঋদ্ধ	riddho:3	riddha:2
ঋনাত্মক	rinattok:3	rinatmak:2	rinatmok:1	rinattak:1
ঋষি	rishi:3
ঋষিকেশ	rishikesh:2	rishkesh:1
ঋষির	rishir:3
এ	e:64	a:2	ey:1
এঁকে	ekey:2	enkey:2	enke:1
এঁকেছিলেন	ekechhilen:1	ekechilen:1	enkechhilen:1	enkechilen:1
এঁকেছেন	ekechen:1	ekechhen:1	enkechen:1	enkechhen:1
এঁদের	eder:2	ender:2
এঁর	enr:2	er:2
এঁরা	enra:2	era:2
এই	ei:2	ai:1	ayi:1	eyi:1
এইখানেই	eikhanei:2	aikhanei:1	ayikhaneyi:1	eyikhaneyi:1
এইগুলি	eiguli:2	aiguli:1	eigooli:1
এইগুলো	aigulo:2	eigulo:2	eigoolo:1
এইজ	age:1	agi:1	aje:1	eija:1
এইজন্য	aijanna:1	aijanno:1	aijonno:1	aijonyo:1
এইট	eight:3
এইটা	eita:3	aita:2
এইটি	eiti:3	aiti:2
এইড	aid:3
এইডস	aids:3
এইডসের	aidser:3
এইতো	eito:3	aito:2
এইদিন	eidin:3	aidin:1	eideen:1
এইধরনের	eidharoner:2	eidhoroner:2	aidharaner:1	aidharoner:1
এইভাবে	eibhabe:2	aibhabe:1	aibhabey:1	eibhabey:1
এইভাবেই	eibhabei:2	eivabei:2	aibhabei:1
এইরকম	eirakom:2	eirokom:2	airakam:1	airakom:1
এইরুপ	eirup:3	airup:1	eiroop:1
এইরূপ	eirup:3	airup:1	eiroop:1
এইসকল	eisakol:2	eisokol:2	aisakal:1	aisakol:1
এইসব	eisob:3	eisab:2	aisab:1	aisob:1
এইসমস্ত	eisomosto:2	aisamasta:1	aisamasto:1	eisamasta:1
এএম	am:2	aem:1
এএমএস	ams:2	aemes:1
এও	eo:3	ao:2	ayo:1	eyo:1
এওকি	eokee:2	eoki:2	aoki:1
এক	ek:3	eka:1	eqa:1	ika:1
একই	eki:8	ekoi:2	ekee:1
একইভাবে	ekeebhaabe:1	ekeebhabe:1	ekibhaabe:1	ekibhabe:1
একইরকম	ekoirokom:2	ekeerokom:1	ekirokom:1	ekoirakom:1
একইসঙ্গে	ekisonge:2	ekeeshonge:1	ekeesonge:1	ekisange:1
একইসাথে	ekisathe:2	ekisaathe:1	ekishaathe:1	ekishathe:1
একক	ekok:3
একককে	ekokke:2	ekokkey:1
এককভাবে	ekokbhabe:2	ekokbhaabe:1	ekokvabe:1	ekokvabey:1
এককালে	ekkale:2	ekkaale:1	ekkaley:1
এককে	ekoke:2	ekokey:1
এককের	ekoker:3
এককোষী	ekkoshi:3	ekkoshee:2	ekkosee:1	ekkosi:1
একখণ্ড	ekkhondo:3	ekkhando:1
একখানা	ekkhana:3	ekkhaana:1	ekkhaanaa:1	ekkhanaa:1
একগামী	ekgami:3	ekgamee:1	ekgammee:1	ekkogamee:1
একগুচ্ছ	ekguccho:2	ekgguccho:1	ekgoochho:1	ekguchho:1
একঘণ্টা	ekghonta:3	ekghanta:1	ekkoghonnta:1	ekoghoonta:1
একঘরে	ekghore:2	ekghare:1	ekghorey:1	ekkoghore:1
একচ্ছত্র	ekcchotro:1	ekkocchotro:1	ekocchotro:1	ekocchotroo:1
একজন	ekjon:2	ekojon:2	akjon:1	ekkojon:1
একজনকে	ekjonke:2	akjonke:1	ekjonkey:1	ekojonke:1
একজনের	ekjoner:2	akjoner:1	ekojoner:1	ekzoner:1
একজোট	ekjot:3	ekzot:1
একঝাঁক	ekjhak:2	ekjhaak:1	ekjhaank:1	ekjhank:1
একট	ekot:3
একটা	ekta:3	akta:1	ektaa:1
একটাই	ektai:3	aktai:1	ektaai:1
একটাও	ektao:3	aktao:1	ektaao:1
একটানা	ektana:3	aktana:1	ektaana:1	ektaanaa:1
একটার	ektar:3	aktar:1	ektaar:1
একটি	ekti:3	ektee:2
একটিই	akteei:1	ekteei:1	ekteeyi:1	ekti:1
একটিকে	ektike:3	ekteeke:2	aktike:1
একটিতে	ekteete:3	ektite:3
একটিমাত্র	ekteematro:3	ektimatro:3	ekteemaatro:1	ektimaatro:1
একটির	ekteer:3	ektir:3
একটু	ektoo:3	ektu:3
একটুও	ektuo:2	ektooou:1	ektoou:1	ektoowo:1
একডালা	ekdala:3	akdala:1	ekdaala:1	ekdaalaa:1
একতরফা	ektorpha:2	ektarofa:1	ektorfa:1	ektorfaa:1
একতলা	ektola:3	ektala:2
একতা	ekota:3	ekata:1	ekotaa:1
একতাবদ্ধ	ekotabaddho:3	ekatabaddha:1	ekatabaddho:1	ekotaaboddho:1
একতারা	ektara:2	ekotaara:1	ekotara:1
একত্র	ekotro:2	ekatra:1	ekatro:1	ekotra:1
একত্রিত	ekotrito:5	ekotreeto:2	ekattrita:1	ekattrito:1
একত্রিশ	ektrish:2	aktrish:1	ekotreesh:1	ekotrish:1
একত্রীকরণ	ekatrikaran:2	ekatrikaron:2	akatrikaran:1	akatrikaron:1
একত্রীকরণের	akatrikaraner:2	akatrikaroner:2	akotrikaraner:1	akotrikaroner:1
একত্রীভূত	akatrivuta:1	akatrivuto:1	ekatribhuta:1	ekatribhuto:1
একত্রে	ekotre:2	akatre:1	ekatre:1	ekotrey:1
একথা	ekotha:3	ekatha:3
একদম	ekdam:3	ekdom:3	akdam:1	akdom:1
একদমই	akdami:1	akdomi:1	ekdami:1	ekdamyi:1
একদল	ekdol:3	akdal:1	akdol:1	ekdal:1
একদা	ekoda:3	akada:1	akoda:1	ekada:1
একদিকে	ekdike:3	akdike:1	ekdeeke:1	ekkodike:1
একদিকের	ekdiker:3	akdiker:1	ekdeeker:1	ekkodiker:1
একদিন	ekdin:3	akdin:1	ekdeen:1	ekkodin:1
একদিনে	ekdine:3	akdine:1	ekdeene:1	ekkodine:1
একদিনের	ekdiner:2	akdiner:1	ekdeener:1	ekkodiner:1
একধরণের	ekdhoroner:2	akdharoner:1	ekdharoner:1	ekkodhoroner:1
একধরনের	ekdhoroner:2	akdharoner:1	ekdharoner:1	ekkodhoroner:1
একনিষ্ঠ	aknishtho:1	ekneeshttho:1	ekneesttho:1	eknishttho:1
একপাশ	ekpash:3	ekpaash:2	akpash:1	ekpaas:1
একপাশে	ekpashe:3	ekpaase:2	ekpaashe:2	akpaase:1
একপ্রকার	ekprakar:2	ekprokar:2	akprakar:1	akprokar:1
একপ্রস্থ	ekprostho:2	akprastha:1	akprastho:1	akprostho:1
একফালি	akfali:3	ekfalee:1	ekfali:1
একফোঁটা	akfota:2	ekfota:2	akfonta:1	akphota:1
একবছর	akbachar:2	akbachor:1	akbochor:1	ekbachar:1
একবছরে	akbachare:2	akbachore:1	akbochore:1	ekbachare:1
একবাক্যে	akbakye:2	akbakke:1	ekbakke:1	ekbakye:1
একবার	ekbar:4	akbar:3	akbaar:1	ekbaar:1
একবারই	akbari:2	akbaroi:1	ekbari:1	ekbaroi:1
একবারে	akbare:3	ekbare:2	akbaare:1	ekbaare:1
একবারেই	akbarei:3	ekbarei:2
একবিংশ	akabingsha:1	akabinsho:1	akbngsho:1	akobingsho:1
একমত	ekmot:2	akmat:1	akmato:1	akmot:1
একমাত্র	ekmatro:9	akmatro:3
একমাত্রিক	akmatrik:3	ekmatreek:1
একমাস	akmas:2	akmash:1	ekmash:1
একমুখী	akmukhi:3	ekmukhi:1
একযোগে	akjoge:3	ekjoge:1
একর	akar:2	acre:1	acri:1	akak:1
একরকম	akrakam:2	akrokom:1	ekrokom:1
একরাতে	akraate:2	akrate:1	ekrate:1
একরাতেই	akraatei:2	akratei:1	ekratei:1
একরাম	akram:3	ekraam:1
একরূপ	akrup:3	ekroop:1
একরের	akarer:1	akorer:1	akrer:1	ekorer:1
একরোখা	akrokha:2	ekrokha:1
একর্ড	acard:1	accard:1	accord:1	acord:1
একলা	akla:2	ekla:1
একশ	aksho:2	eksho:1
একশত	akshato:2	ekshato:1	ekshoto:1
একশনের	actioner:2	ekshoner:1
একশো	aksho:2	eksho:1
একশোটি	akshoti:2	ekshotee:1	ekshoti:1
একশোর	akshor:2	ekshor:1
একশ্রেণীর	akshrenir:2	ekshreneer:1	ekshrenir:1
একসঙ্গে	aksange:2	eksange:1	eksonge:1
একসাথে	aksathe:2	eksathe:1
একসাথেই	aksathei:2	eksathei:1
একসারি	aksari:2	eksaree:1	eksari:1
একস্থানে	aksthane:2	eksthane:1
একহাতে	akhaate:2	ekhaate:1	ekhate:1
একা	eka:4	aka:3	eqa:3	ika:3
একাংশ	akansho:2	ekansho:1
একাই	akai:2	ekai:1
একাউন্ট	account:4	acaunt:1	accaunt:1	acount:1
একাউন্টিং	accounting:3	ekaunting:1
একাউন্টেন্ট	accauntant:1	accountant:1	eekaunteenta:1	ekauntenta:1
একাকার	akakar:2	ekakaar:1	ekakar:1
একাকী	akaki:2	ekakee:1	ekaki:1
একাকীত্ব	akakitwa:2	ekakeetto:1	ekakitto:1
একাগ্রতার	akagrotar:3	ekagrotar:1
একাজ	akaj:2	ekaaj:1	ekaj:1
একাডেমি	academy:2	ekademee:1	ekademi:1
একাডেমিক	academic:3	acadeemic:1	acadeemik:1	academik:1
একাডেমিয়া	acadeemia:2	academia:2	acadimia:2	akadeemia:2
একাডেমির	academir:1	academyer:1	academyr:1	ekademir:1
একাডেমী	academy:2	academi:1	ekademi:1
একাডেমীতে	academyte:2	academite:1	ekademite:1
একাডেমীর	academir:1	academyer:1	academyr:1	ekademir:1
একাত্তরে	akattare:2	akattore:1	ekattore:1
একাত্তরের	akattarer:2	akattore:1	ekattore:1
একাত্ব	akatwa:2	ekaatto:1	ekatto:1
একাত্মতা	akatmata:2	ekaattota:1	ekattota:1
একাদশ	ekadosh:2	akadash:2	ekaadosh:1	ekados:1
একাদশী	akadashi:1	ekaadoshi:1	ekadashi:1	ekadoshee:1
একাদশে	ekadoshe:2	akadashe:1	ekaadoshe:1	ekadashe:1
একাদশের	ekadosher:2	akadasher:1	ekaadosher:1	ekadasher:1
একাদিক্রমে	ekadikrome:2	akadikrame:1	ekaadikrome:1	ekadikrame:1
একাধারে	ekadhare:2	akadhare:1	ekaadhare:1	ekadharey:1
একাধিক	ekadhik:2	akadhik:1	ekaadheek:1
একাধিকবার	akadhikbar:1	ekaadhikbar:1	ekadheekbar:1	ekadhikbar:1
একান্ত	ekanto:2	akanto:1	ekaanto:1	ekanta:1
একান্তই	ekantoi:2	akantoi:1	ekantai:1
একান্তভাবে	ekantobhabe:2	ekantovabe:2	akantobhabe:1	ekantabhabe:1
একান্নবর্তী	akannoborti:2	ekannoborti:2	ekannabarti:1	ekannaborti:1
একার	ekar:2	akar:1	ekaar:1
একারণে	ekarone:2	akarane:1	ekaarone:1	ekarane:1
একি	eki:2	aki:1	ekee:1
একীভূত	ekibhuto:2	akibhuto:1	ekibhuta:1	ekivuto:1
একুশ	ekush:2	akush:1	ekus:1
একুশে	ekushe:2	akushe:1	ekooshe:1	ekushey:1
একে	eke:3	ak:1	ake:1	eekee:1
একেএম	akm:2	akem:1	ekem:1
