آؤ	aao:3	aaoo:1	aau:1	aaw:1
خادموں	khaadeemon:1	khaadimoun:1	khadamon:1	khadeemoun:1
خادمہ	khaadima:1	khadamaa:1	khadema:1	khademaa:1
خار	khar:3	khaar:2	qar:1	qhaar:1
خاران	kharan:3	kharaan:2	khaaraan:1	khaaran:1
خارج	khaarij:3	kharij:3	khaareej:1	khaarej:1
خارجہ	kharja:2	khaarija:1	khaarijaa:1	khaarja:1
خارجی	kharji:2	khaarijee:1	khaariji:1	khaarjee:1
خارجیت	khaarajiyat:1	khaarijiyat:1	khaarjeeat:1	khaarjeeyat:1
خارجیوں	khaareejeoun:1	khaarijeeon:1	khaarijioun:1	khaarijiyoon:1
خارش	khaareesh:2	khaarish:2	kharish:2	kharash:1
خارپشت	khaarpashat:1	khaarpashit:1	khaarpusht:1	kharpasht:1
خاشاک	khashak:3	khaashaak:2	khaashak:1	khashaak:1
خاص	khas:2	khaas:1
خاصا	khasa:3	khaasaa:2	khaasa:1	khasaa:1
خاصوں	khason:2	khaason:1
خاصہ	khasa:2	khaasa:1	khaasah:1	khasaa:1
خاصی	khasi:3	khaasi:2	khasee:2	khaasee:1
خاصیت	khaasiyat:3	khasiyat:3	khaaseeyat:1	khaseeyat:1
خاصے	khaase:3	khase:2	khasey:2	khaasey:1
خاطر	khatir:5	khaatir:4	khaater:1	khater:1
خاقان	khaaqaan:3	khaqan:3	khaakaan:1	khaaqan:1
خاقانی	khaaqaani:3	khaqani:3	khaaqaanee:2	khaakaani:1
خال	khal:5	khaal:4	qhaal:1	qhal:1
خالد	khalid:6	khaled:2	khaalad:1	khaalid:1
خالدہ	khalidah:2	khaaledah:1	khaalidah:1	khaladah:1
خالص	khalis:2	khaalis:1
خالصتاً	khaalesatan:1	khaalisatan:1	khaalistaan:1	khalastan:1
خالصہ	khalisa:2	khaalesa:1	khaalisa:1	khaalisaa:1
خالف	khalif:2	khaalif:1
خالق	khaliq:2	khaaliq:1
خالو	khalu:3	khaalu:2	khaaloo:1	qaloo:1
خالہ	khala:3	khaala:1	khaalaa:1	khaalah:1
خالی	khaali:2	khali:2	khaalee:1	khale:1
خامرے	khaamare:1	khaamire:1	khaamre:1	khaamrey:1
خامسہ	khaamasaa:1	khaamisaa:1	khaamsa:1	khamasa:1
خامن	khaamin:1	khaman:1	khamin:1
خامنہ	khamina:2	khaamina:1	khaaminaa:1	khaamna:1
خاموش	khamosh:3	khaamosh:2	khaamoosh:1	khaamush:1
خاموشی	khamoshi:3	khaamoshee:1	khaamoshi:1	khamosi:1
خامہ	khamah:3	khama:2	kama:1	khaamaa:1
خامی	khami:3	khaamee:2	khaami:1	khamee:1
خامیاں	khaamiyan:1	khaamyaan:1	khameeyan:1	khamia:1
خامیوں	khamiyon:2	khaamiyon:1	khaamyon:1	khameeyon:1
خان	khan:10	khaan:3	khana:1
خانان	khanan:3	khaanaan:2	khaanan:1
خانانی	khaanaanee:2	khanani:2
خاناں	khanan:3	khaanaan:1	khaanan:1	khana:1
خاندان	khaandaan:4	khandan:4	khaandan:1	khanadan:1
خاندانوں	khandano:2	khandanon:2	khaandaano:1	khaandaanon:1
خاندانِ	khandani:2	khaandaane:1	khaandaani:1	khanidane:1
خاندانہائے	khaandaanhaayee:1	khaandaannanihaaye:1	khandananihaye:1	khandanhaae:1
خاندانی	khandani:3	khaandaani:2	khandanee:1
خاندن	khandan:2	khaanadan:1	khaandan:1	khaanidan:1
خانزادہ	khanzadah:2	khaanzaadaah:1	khaanzaadah:1	khanazadah:1
خانصاحب	khaansaahab:2	khansahab:2	khaansaaheb:1	khaansahab:1
خانقاه	khankah:2	khanqah:2	khaanaqaah:1	khaaniqaah:1
خانقاہ	khankah:2	khanqah:2	khaaniqah:1	khaanqaah:1
خانقاہوں	khanqahon:2	khaanaqaahon:1	khaaniqaahon:1	khaanqaahon:1
خانقاہی	khankahi:2	khanqahi:2	khaanaqaahi:1	khaaniqaahi:1
خانقاہیں	khaanaqaahiyon:1	khaaniqaahiyon:1	khankahen:1	khankhahen:1
خانم	khanam:3	khaanam:1
خانه	khanah:3	khaanaah:1	khana:1	qanah:1
خانو	khano:2	khaanoo:1	khaanu:1	qano:1
خانوادہ	khanwadah:2	khaanawaadah:1	khanawadah:1	khanwada:1
خانوادے	khanvade:2	khanvaade:1	khanwaaday:1	khanwadai:1
خانواہ	khanwah:2	khaanawaah:1	khaanuah:1	khaanuwaah:1
خانون	khanoon:2	khanun:2	khaanoon:1	khaanun:1
خانوں	khanon:4	khaanon:3	khaanoon:1	khaanun:1
خانِ	khane:2	khaane:1	khani:1	qane:1
خانپور	khanpur:3	khanpoor:1	khanpour:1
خانکی	khanaki:2	khanki:2	khaanaki:1	khaaniki:1
خانگی	khangee:2	khangi:2	khaanagi:1	khaanegi:1
خانہ	khanah:2	khaanaa:1	khana:1	qanah:1
خانی	khani:5	khaanee:3	khaani:2	khany:1
خانیت	khaaniyat:4	khaniyat:4	khaniat:3	khanait:1
خانیوال	khaanewaal:2	khanewal:2	khaanevaal:1	khaneval:1
خانیوں	khaniyon:3	khaaneon:1	khaanion:1	khaaniyon:1
خانے	khane:5	khaane:2	khaanay:1	khanai:1
خاور	khawar:3	khaawar:2
خاوند	khawind:2	khaavind:1	khaawand:1	khaawind:1
خاک	khak:5	khaak:4
خاکسار	khaksar:2	khaakasaar:1	khaakisaar:1	khaaksaar:1
خاکساروں	khaksaron:3	khaaksaaron:2	khaksaro:1
خاکستر	khaaksatar:1	khakastar:1	khaksatar:1	khakstar:1
خاکستری	khaaksatree:1	khakastari:1	khaksatri:1	khakstari:1
خاکوانی	khakwani:3	khaakwaani:1	khaqwani:1
خاکوں	khakon:3	khako:1	qakon:1
خاکِ	khak:1	khake:1	khaki:1	khaq:1
خاکہ	khakah:3	khaka:1	khaqah:1	qakah:1
خاکی	khaki:5	khaakee:2	khaaki:1	khake:1
خاکے	khakay:2	khake:1	khaqe:1	qakay:1
خاں	khan:4	khaan:1	khah:1	qan:1
خب	khab:3	khub:1	qab:1
خباب	khabaab:2	khabab:2	khabbaab:1	khabbab:1
خبار	khabaar:2	khabar:2	qabaar:1
خبر	khabar:3
خبردار	khabardaar:2	khabardar:2
خبردی	khabaradee:1	khabaradi:1	khabarde:1	khabardi:1
خبروں	khabaron:3	khabron:1	qabaron:1
خبرگزاری	khabaraguzari:1	khabargazare:1	khabarguzari:1	qabargazari:1
خبری	khabari:2	khabree:2	khabri:2	khabary:1
خبریں	khabrein:2	khabarain:1	khabrayn:1	khabren:1
خبیب	khabib:3	khabeeb:2
خبیث	khabees:2	khabis:2	khabish:1
خبیر	khabeer:3	khabir:3
ختلان	khatlan:3	khatlaan:1
ختم	khatam:6	katam:1	khatm:1
ختمِ	khatam:1	khatami:1	khatmi:1
ختنہ	khatna:2	khatnah:2	khatnaa:1
ختنے	khatne:2	khatneh:1
خجالت	khajalat:3	khajaalat:1
خجستہ	khajastah:3	khajasta:1	khajsata:1
خد	khad:3	khud:2	kad:1
خدا	khuda:6	khada:2	khoda:2	khudaa:2
خداؤں	khodaon:1	khudao:1	khudaun:1	khudawo:1
خدائی	khudai:2	khdayee:1	khudaai:1	khudaee:1
خدابخش	khudabaksh:2	khadabaqash:1	khudaabaksh:1	khudaabaqsh:1
خداترس	khudataras:2	khadataras:1	khudaataras:1	qadataras:1
خداتعالیٰ	khudataala:2	khadataala:1	khudaataala:1	khudaataalaa:1
خداد	khadad:2	khudad:2	khadaad:1
خدام	khudam:3	khadam:1
خدانے	khudane:2	khadane:1	khudanay:1
خداوند	khudavand:2	khadavand:1	khudawand:1
خداکی	khudaki:3	khadaki:1
خدای	khudai:2	khadai:1	khudaee:1	khudayee:1
خدایا	khudaya:2	khadaya:1	khudaia:1
خدایانِ	khadayane:1	khudaiane:1	khudayan:1	khudayane:1
خدری	kadari:1	khadree:1	khadri:1	khudari:1
خدشات	khadshaat:2	khadshat:2	khadshath:1	qhadshath:1
خدشہ	khadsha:5	khadshah:3	khadshaa:1	khudsha:1
خدمات	khidmaat:3	khidmat:2	khadmaat:1	khadmat:1
خدماتِ	khadmatay:1	khadmate:1	khidamati:1	khidmaat:1
خدماتی	khidmaati:2	khidmati:2	khadmati:1	khidamati:1
خدمت	khidmat:2	khadmamt:1	kheedmath:1	khidmath:1
خدمتِ	khidmate:2	khadmate:1	khidmatee:1	khidmatey:1
خدو	khado:2	khadou:1	khadu:1	khudo:1
خدی	khadi:3	khadee:2	khudi:1	qhadee:1
خدیجہ	khadijah:2	khadija:1	qadejah:1	qadijah:1
خدیجۃ	khadijah:1	khatijath:1	qadejatah:1	qadijatah:1
خر	khar:6	khr:1	khur:1
خراب	kharab:3	kharaab:1
خرابا	kharaba:2	kharaaba:1	kharab:1
خرابی	kharabi:3	kharabee:1
خرابیاں	kharabiyan:3	kharabeeya:1	kharabiyah:1
خرابیوں	kharabiyon:2	kharabeeyo:1	kharabion:1	kharabiun:1
خراج	kharaj:4	kharaaj:2	kharaz:2	kheraj:1
خراد	kharad:3	kharaad:1	khrad:1
خراسان	kharasan:2	kharasaan:1	khorasan:1
خراسانی	kharasani:5	kharasanee:2	kharaasani:1	kharaashani:1
خراش	kharash:6	kharaash:3	kharas:1	qharash:1
خراشیں	kharashen:2	kharashay:1	kharashe:1	kharashein:1
خرافات	kharaafat:1	kharafaat:1	kharafat:1	khurafat:1
خربوزے	kharbuze:2	kharbooje:1	kharboozey:1	kharbozay:1
خرد	kharad:2	khard:2	kharid:1	khurd:1
خرداد	kharda:1	khardaad:1	kharidaad:1	kharidad:1
خرطوم	khartoom:2	khartum:2	khartaum:1	khartom:1
خرقان	kharqaan:2	kharkaan:1	kharqan:1	khurqan:1
خرقہ	kharkha:1	kharqa:1	kharqaa:1	kharqha:1
خرم	kharam:1	khuram:1	khurram:1
خرما	kharma:1	kharmaa:1	khurma:1
خرمستیاں	kharmastian:2	kharmastiyan:2	kharmastiyaan:1
خرمن	kharman:2	kharmun:1	khirman:1	khurman:1
خروش	kharosh:3	kharos:1	kharush:1	qarosh:1
خرچ	kharch:2	kharach:1	qarch:1
خرچوں	kharchon:3	kharchoo:1	kharchoun:1
خرچہ	kharcha:2	kharchah:2	qarchah:1
خرچے	kharche:2	kharchay:1	qarchae:1
خرگوش	khargosh:6	khargos:1	khargoush:1	qargosh:1
خرید	khareed:2	kharid:2	khared:1
خریدا	kharida:2	kharedaar:1	kharedar:1	khareeda:1
خریدار	kharidar:3	khareedar:2	kharedar:1	khareedaar:1
خریداروں	kharidaron:3	kharidaaron:2	khareedaaron:1	khareedaron:1
خریداری	kharidari:3	khareedari:1	kharidaree:1	khariidaree:1
خریدتا	kharidta:3	khareedta:1	kharidtaa:1
خریدتے	khareedte:2	khareedtay:1	khareedtey:1	kharidtay:1
خریدنا	khareedna:2	kharidna:1	kharidnaa:1	khariidna:1
خریدنے	khareednay:1	khareedne:1	khareedney:1	kharidane:1
خریدوفروخت	khareedwafarokht:1	kharidofarokht:1	kharidvafarokht:1	kharidwafrokt:1
خریدہ	kharidah:3	khareedah:2	kharida:1
خریدی	khareedi:2	kharidee:2	kharidi:2	khareede:1
خریدیں	khareede:2	khariden:2	khareedey:1	kharidey:1
خریدے	kharidey:2	khareeday:1	khareede:1	khareedey:1
خریم	khareem:3	kharim:2
خزاعہ	khazaa:2	khazaaa:1	khejaah:1	khezaah:1
خزاعی	khazaee:2	khajaee:1	khajai:1	khazaa:1
خزافتی	khajafati:1	khazaafate:1	khazaaftee:1	khazaafti:1
خزان	khazan:3	khazaan:2	khajan:1
خزانوں	khazanon:2	khazaano:1	khazaanon:1	khazano:1
خزانچی	khazanchi:2	chajanchi:1	khazaanachi:1	khazaanchee:1
خزانہ	khazanah:4	khazana:3	khazaanah:2	khajana:1
خزانۃ	khajana:1	khazaanat:1	khazaanta:1	khazana:1
خزانے	khazaney:2	khajane:1	khazaane:1	khazanay:1
خزاں	khazaa:1	khazaan:1	khazah:1	kheja:1
خزر	khazar:2	khazer:1	khijar:1	khizar:1
خزرج	khazraj:2	khajraj:1	khazarj:1
خزیمہ	khazima:2	khajima:1	khazeema:1	khazimah:1
خزینہ	khazina:2	khazinah:2	khajina:1	khajinah:1
خزینۃ	khajina:1	khazeenat:1	khazeenta:1	khazina:1
خس	khas:3	khass:1
خسارے	khasarey:2	khasaray:1	khasare:1	khesaare:1
خستہ	khasta:3	khastaa:1	khastah:1
خسر	khasar:2	khasr:1	khusar:1
خسرو	khasro:2	khusro:2	khasru:1	khosro:1
خسروانہ	khasravanah:1	khasrawanah:1	khasroana:1	khasrowana:1
خسرہ	khasra:3	khasrah:3
خسک	khasak:3	khasakk:1	khask:1
خسی	khasee:5	khasi:5	khasy:1	khusi:1
خسیس	khasees:3	khasis:2	khasies:1	khasiis:1
خشتِ	khashte:2	khishte:1	khushate:1
خشوع	khushu:2	khashoon:1	khasuuh:1	khoshu:1
خشک	khashak:4	khushak:3	khushk:2	khoshk:1
خشکی	khushki:2	khashki:1	khushaki:1	khushkee:1
خصائص	khasaaes:1	khasaayas:1	khasaes:1	khasais:1
خصاف	khasaaf:3	khasaf:3	kasaaph:1	kasaph:1
خصلت	khaslat:2	khasaalat:1	khasalat:1
خصلتیں	khaslaten:2	khaslatey:2	khaslate:1	khaslatein:1
خصوصا	khasusa:2	khasoosaa:1	khusoosa:1	khususa:1
خصوصاً	khasusan:2	khususan:2	khasoosaan:1	khasoosan:1
خصوصًا	khasusan:2	khasoosaan:1	khoshusan:1	khusosan:1
خصوصی	khasoosi:3	khususi:3	khasoosy:1	khasosi:1
خصوصیات	khususiat:3	khasusiyaat:2	khasoosiyaat:1	khasusiat:1
خصوصیت	khasusiyat:2	khasoosiyat:1	khususeeat:1	khususiat:1
خصوصیتیں	khasusiyate:1	khoosoosiyaten:1	khususiyatein:1	khususiyaten:1
خصیہ	khasia:2	khasai:1	khasaiy:1	khasea:1
خصیے	khaseay:1	khaseeay:1	khasie:1	khasiye:1
خضدار	khazdaar:2	khazdar:2	khizdar:1
خضداری	khaddaree:1	khaddari:1	khazdaari:1	khazdaree:1
خضر	khazar:2	khizar:2
خضرا	khadra:1	khadraa:1	khazra:1	khazraa:1
خضری	khazoori:1	khazree:1	khazri:1	khazuri:1
خضوع	khajua:1	khazooh:1	khazu:1	khazua:1
خط	khat:7	khatt:1
خطا	khata:3	khataa:2
خطاؤں	khataon:3	khataao:1	khataaon:1
خطائیں	khataen:2	khatayen:2	khataayein:1	khatayein:1
خطائے	khataaey:1	khataayein:1	khatae:1	khataey:1
خطاب	khataab:3	khatab:3	khetaab:2	khetab:1
خطابات	khatabaat:2	khataabaat:1	khetabaat:1	khetabat:1
خطابت	khataabat:1	khataabath:1	khatabat:1	khatabath:1
خطاط	khataat:3	khatat:3
خطاطوں	khataton:2	khataatoan:1	khatatoan:1	khatatow:1
خطاطی	khataati:2	khatatee:2	khatati:2	khataty:1
خطبات	khatbaat:2	khatbat:1	khutbaat:1	khutbat:1
خطباتِ	khatbati:2	khatbaati:1	khatbatee:1	khatbaty:1
خطبوں	khatbon:3	khatbo:2	khatbun:1
خطبہ	khatba:2	khatbah:1	khutbaah:1	khutbah:1
خطبہء	khutba:2	khutbah:2	khutbaa:1	khutbaah:1
خطبے	khatbe:2	khatbey:2	khatbay:1
خطر	khatar:2	khatr:1
خطرات	khatraat:5	khatrat:5
خطرناک	khatarnaak:2	khatarnak:2
خطروں	khatron:3	khatro:2
خطرہ	khatrah:5	khatra:3	khatraah:1	khatrh:1
خطری	khatree:2	khatri:2	khatrii:1	khatry:1
خطرے	khatre:2	khatrey:2	khatray:1	khatrein:1
خطوط	khatooth:1	khatut:1	khatuuth:1	khutoot:1
خطوطِ	khatootee:1	khatooti:1	khatuti:1	khatuuti:1
خطوں	khaton:2	khitton:2	khato:1	khiton:1
خطيب	khateeb:2	khatib:2	khataib:1	khataiyb:1
خطِ	khati:3	khatee:1	khathi:1
خطّہ	khata:1	khatta:1	khattha:1	khettah:1
خطّے	khate:1	khatey:1	khattay:1	khattey:1
خطی	khatee:3	khati:3	khaty:1
خطیب	khateeb:2	khatib:2	khataib:1	khataiyb:1
خطیبوں	khateebo:2	khateebon:2	khatibon:2
خطیبی	khateebi:3	khateeby:1	khatibi:1	khatiibi:1
خطیر	khateer:2	khatir:2	khatair:1	khataiyr:1
خطے	khate:3	khatey:3	khitte:2	khatay:1
خظ	khaz:3	khaj:1	khazz:1
خفا	khafa:3	khafaa:1	khapha:1
خفتگان	khaftagaan:2	khaftagan:2	khifatgan:1	khiphatgan:1
خفگی	khafgi:3	khafgee:2	khafgy:1	qhafgee:1
خفیف	khafeef:3	khafif:2
خفیہ	hafee:1	khafea:1	khafia:1	khofeeya:1
خلا	khala:3	khalaa:3	khila:2	khilaa:1
خلاء	khala:1	khalaa:1	khalaae:1	khila:1
خلاءمیں	khalaa:2	khala:1	khila:1
خلاؤں	khalaon:3	khalaaon:2	khalaaoun:1	khalaoun:1
خلائی	khalai:3	khalaayi:2	khalaee:2	khalayi:2
خلاباز	khalabaaz:3	khalabaz:3	khalaabaaz:2
خلابازوں	khalabazon:3	khalaabaazon:1	khalaabazon:1	khalabaazoun:1
خلاصہ	khalasa:3	khulasa:3	khalaasa:2	khulaasa:1
خلاصۃ	khalaasat:1	khalaasta:1	khalasat:1	khalasta:1
خلاصی	khalasee:2	khalasi:2	khalasii:1	khalasy:1
خلاف	khilaf:4	khilaaf:3	khalaf:2	khalaaf:1
خلافت	khilafat:5	khalafat:2	khilaafat:2	khalaafat:1
خلافتِ	khalafati:2	khalafatee:1	khalafatii:1	khalfatee:1
خلافِ	khalafee:2	khalaafi:1	khalafi:1	khalafy:1
خلاق	khalaq:5	khalaaq:4	khalaakh:1	khalaaqh:1
خلاقی	khalaqee:2	khalaaqhi:1	khalaqe:1	khalaqhee:1
خلاقیت	khalaqiat:3	khalaqiyat:2	khalaaqeeyat:1	khalaaqiyat:1
خلت	khalat:1	khalt:1	kheelat:1	kheellat:1
خلجی	khaljee:2	khalji:2	khalajee:1	khalaji:1
خلدون	khaldon:2	khaldo:1	khaldoon:1	khaldoun:1
خلش	khalsh:2	khalash:1	khalesh:1	khalish:1
خلط	khalat:3	khalath:1	qhalat:1
خلع	khalaa:1	khalaah:1	khla:1	khlaa:1
خلعت	khalaat:1	khalaath:1	khalat:1	khalath:1
خلف	khalaf:1	khalafa:1	khalaff:1	khalf:1
خلفا	khalfa:2	khalafa:1	khalafaa:1	khalfaa:1
خلفاء	khalfa:2	khalfaa:2	khalfaah:1	khalfah:1
خلفائے	khalfae:1	khalfaye:1	khalfayein:1	khulafaye:1
خلفشار	khalfashar:2	khalfashaar:1	khalfishar:1
خلق	khalaq:4	khalq:3
خلقت	khalqat:2	khalkat:1	khalqhat:1
خلقی	khalqi:3	khalqee:2	khalqii:1	khalquie:1
خلل	khalal:2	khalall:1	khallal:1
خلوت	khalot:1	khilvat:1	khilwat:1	khiwat:1
خلوص	khuloos:2	khaloos:1	khalus:1	khaluus:1
خلوی	khaaloiu:1	khaloiu:1	khalve:1	khalwee:1
خليفہ	khaleefa:1	khaleefah:1	khalifa:1	khalifah:1
خلیات	khaliyaat:1	khaliyat:1	khalyaat:1	khalyat:1
خلیج	khaleej:2	khalij:2	khaliij:1	qaleeg:1
خلیجی	khaleezee:1	khaleezi:1	khalijee:1	khaliji:1
خلیفہ	khaleefah:2	khalifa:2	khaleefa:1	khalifah:1
خلیفۃ	khaleefat:1	khaleefata:1	khalifat:1	khalifata:1
خلیفے	khaleefay:1	khaleefe:1	khaleefey:1	khalifay:1
خلیق	khaleek:1	khaleeq:1	khaliq:1	qaleek:1
خلیل	khalil:5	khaleel:4	khalel:2	khelil:1
خلیوں	khaliyon:2	khaliyo:1	qalewon:1	qaliwon:1
خلیہ	khalea:1	khaleeh:1	khalih:1	khaliya:1
خلیے	khaleeyeh:1	khaliyah:1	khaliye:1	khaliyein:1
خم	kham:5	qam:1
خمار	khamaar:2	khamar:2	qamaar:1	qamar:1
خمدار	khamdaar:2	khamdar:2	khumdar:1
خمر	khamar:3
خمس	khamas:3	khams:1
خمسہ	khamsa:2	khamsah:2	khamsh:1
خموش	khamosh:3
خمیر	khamir:3	khameer:1	khamer:1
خمیری	khameeri:2	khamiri:2	khameery:1	khamiiry:1
خمیسو	khameeson:1	khameesu:1	khamiison:1	khamiso:1
خمین	khamin:3	khameen:2	khamen:1
خمینی	khamini:3	khameeni:2	khameni:1
خناق	khanaq:2	khanaaq:1	khanak:1	khinaq:1
خنجر	khanjar:3	khanjer:1
خنجراب	khanjarab:2	khanjaraab:1	khanjerab:1	khanjrab:1
خندق	khandaq:2	khandak:1	khandaque:1
خندقیں	khandaqein:2	khandaken:1	khandaqe:1	khandaqueen:1
خندہ	khanda:3	khandah:3
خنزیر	khanzeer:2	khanzir:2	khanjeer:1	khanjir:1
خنساء	khansaa:2	khansa:1	khansae:1	khansai:1
خو	khu:4	kho:3	khwa:1	khwaa:1
خوا	khawa:5	khava:2	khwa:2	khwaa:1
خواب	khawab:3	khwaab:2	khwab:2	khawaab:1
خواباں	khawabaan:2	khawabaa:1	khuabaan:1	khwaabaan:1
خوابوں	khawabo:1	khawabon:1	khawaboon:1	khawabun:1
خوابِ	khawabee:1	khawabi:1	khuabee:1	khuabi:1
خوابی	khwabi:3	khawabi:2	khuabi:2	khvabi:2
خواتين	khawateen:2	khuatin:1	khwaaten:1	khwaten:1
خواتین	khawatin:2	khuateen:1	khwateen:1	khwaten:1
خواجه	khavajah:1	khawajah:1	khuaajah:1	khvaajah:1
خواجوی	khawajavi:1	khawajvi:1	khawajwi:1	khwajvi:1
خواجگان	khawajgan:2	khuajgaan:1	khwaajgan:1	khwajgan:1
خواجہ	khwajah:3	khavajah:1	khawaja:1	khawajah:1
خوار	khawar:2	khuar:1	khwaar:1	khwar:1
خوارج	khawarij:2	khuarij:1	khwaaraj:1	khwaraj:1
خوارزمی	khawarzame:1	khuarzami:1	khuwarzami:1	khwarizmi:1
خواری	khavari:1	khawari:1	khuari:1	khuwari:1
خواص	khawas:2	khwas:2	khuas:1
خوان	khawan:2	khuan:1	khwaan:1	khwan:1
خواندگی	khawandagi:2	khuandagi:1	khwaandagi:1	khwandagi:1
خواندہ	khavandah:1	khuanadah:1	khvanadah:1	khwaanda:1
خوانساری	khawanisari:1	khawansari:1	khuansari:1	khwaansari:1
خوانوں	khawanon:2	khuanon:1	khwanon:1	khwanun:1
خوانی	khawani:2	khuani:1	khwanee:1	khwani:1
خوانین	khuanin:2	khawanin:1	khwaanen:1	khwaneen:1
خواں	khuan:2	khawan:1	khwaan:1	khwan:1
خواھش	khavahash:1	khuaish:1	khvaish:1	khwahesh:1
خواہ	khavah:2	khawah:2	khwah:2	khuah:1
خواہاں	khawahan:2	khuahan:2	khavahan:1	khvahan:1
خواہش	khawahash:1	khuaish:1	khvaish:1	khwahesh:1
خواہشات	khavahashaat:1	khuaishaat:1	khvaishaat:1	khwaheshaat:1
خواہشاتِ	khuaishaathi:1	khvaishaathi:1	khwaaheshaat:1	khwahishaat:1
خواہشوں	khavahashon:1	khawahisho:1	khawahishon:1	khuaishon:1
خواہشیں	khavahashen:1	khawahise:1	khawahishen:1	khuaishein:1
خواہِ	khavahe:1	khawahe:1	khawahi:1	khuaahi:1
خواہی	khavahe:1	khawahi:1	khuaahi:1	khvaahi:1
خوب	khoob:2	khub:2
خوبانی	khubani:2	khoobaanee:1	khoobani:1	khubany:1
خوبصور	khoobsur:3	khubsur:2	khubsoor:1	qoobsur:1
خوبصورت	khubsurat:2	khoobsoorat:1	khoobsurat:1	khubsoorat:1
خوبصورتی	khubsurati:5	khoobsurati:3	khoobsoorati:2	khoobsoortee:1
خوبی	khubi:3	khoobi:2	khubee:2	khuby:1
خوبیاں	khoobiyan:2	khubiyan:2	khubian:1	khubiyaan:1
خوبیوں	khoobiyon:2	khubiyon:2	khubeeyon:1	khubiyo:1
خود	khud:6
خودارادیت	khoodaradiyat:1	khudaradeet:1	khudaradit:1	khudaradiyat:1
خودبخود	khudbakhud:2	khoodbakhood:1	khudbakhon:1	khudbakhun:1
خودرو	khudroo:2	khudru:2	khudro:1
خودساختہ	khudsakhta:3	khudsakhtah:2	khudsakhata:1	khudsakhtaa:1
خودسر	khudsar:3	khoodsar:1	khudsir:1
خودسری	khudsari:2	khoodsari:1	khudari:1	khudsaree:1
خودسوزی	khudsozi:3	khudsozee:2	khudsoji:1	khudsujee:1
خودمختار	khudmukhtar:3	khudmakhtar:1	khudmokhtaar:1	khudmokhtar:1
خودنوشت	khudnoshat:2	khudnaushat:1	khudnawisht:1	khudnawist:1
خودکار	khudkaar:3	khudkar:3	khoodkar:1
خودکش	khudkush:4	khudkus:2	khoodkash:1	khoodkush:1
خودکشی	khudkashee:2	khudkashi:2	khudkashy:1	khudkushee:1
خودکفیل	khudkafeel:3	khudkafil:3
خودی	khudi:3	khudee:1	khudii:1	khudy:1
خور	khoor:5	khur:5	khor:2	khuur:1
خوراک	khoraak:3	khorak:2	khurak:2	khooraak:1
خوراکی	khoraakee:1	khoraaki:1	khoraaky:1	khoraaqi:1
خوراکیں	khoorakeen:1	khoraken:1	khurakein:1	khuraken:1
خورد	khurad:2	khurd:2	khoord:1
خوردبینی	khuardbeeni:1	khuardbinee:1	khurdbaini:1	khurdbeenee:1
خوردن	khurdan:3	khoordan:1	kurdan:1
خوردنی	khurdani:3	khurdanee:2	khurdany:2	khoordani:1
خوردہ	khurda:3	khurdah:2	khurdha:1	qurdha:1
خورس	chorus:1	khoras:1	khorus:1	khuras:1
خورشید	khursheed:5	khurshid:3	khurseed:1	khusheed:1
خوروں	khoron:2	khauron:1	khoro:1	khuroon:1
خوری	khuri:4	khoori:2	khooree:1	khori:1
خوزستان	khozistaan:2	khozistan:2	khujistan:1	khusstan:1
خوش	khush:6	khoosh:1	khus:1	qush:1
خوشاب	khushaab:2	khushab:2	khoshaab:1	khushub:1
خوشامد	khushaamad:2	khushamad:2	khusamad:1	qushamad:1
خوشامدی	khushaamadee:1	khushaamadi:1	khushaamady:1	khushamadi:1
خوشامدیوں	khushaamadiyon:2	khushamadion:2	khushamadyon:1	qushamadiyon:1
خوشبو	khushboo:2	khushbo:1	khushbu:1	khushuboo:1
خوشبودار	khushbudar:4	khushboodar:2	khooshboodaar:1	khushbodar:1
خوشحال	khushhaal:2	khushhal:2
خوشخبری	khushkhabari:1	khushkhabree:1	khushkhabri:1	khuskhabri:1
خوشخط	khushkhat:3
خوشنودی	khushnudi:3	khooshnoodi:1	khushnoodi:1	khushnudee:1
خوشگواری	khushgawari:3	khusgawari:1	khushgavari:1	khushgawaari:1
خوشہ	khosha:1	khoshah:1	khushee:1	khushi:1
خوشی	khushi:3	khoshi:1	khushee:1
خوشیاں	khushiyaan:2	khushiyan:2	khooshiyan:1	khushian:1
خوشیوں	khushiyon:3	khushiyo:2	khooshiyon:1	khushion:1
خوشے	khushee:2	khushi:2	khoshay:1	khoshe:1
خوص	khos:2	khaus:1	khus:1
خوض	khauz:4	khoz:3	khoj:1	khooz:1
خوف	khauf:3	khouff:2	khuf:2	khauph:1
خوفزدہ	khaufzada:1	khofzada:1	khoofazdah:1	khouzadah:1
خوفناک	khoufnak:3	khaufnak:2	khofnak:2	khoufnaak:2
خوفو	khufu:2	khoofu:1	khoufon:1	khoufoun:1
خول	khol:3	khoul:2
خولان	khulaan:2	khawlan:1	khoolaan:1	khoolan:1
خولوں	kholon:1	khoolo:1	khoolon:1	khulon:1
خولہ	khawlah:1	khoola:1	khoolah:1	khula:1
خولی	khooli:2	khuli:2	kholi:1	khulee:1
خون	khoon:4	khun:3	khuun:2	khon:1
خونخوار	khoonkhwar:2	khoonkhuar:1	khoonkhuwar:1	khoonkhvar:1
